NAME	UNIPROT_ID	UNIPROT_GENE_NAME	DESCRIPTION	LINK
P24001	IL32_HUMAN	IL32	Interleukin-32	https://www.uniprot.org/uniprot/P24001
P24071	FCAR_HUMAN	FCAR	Immunoglobulin alpha Fc receptor	https://www.uniprot.org/uniprot/P24071
P24394	IL4RA_HUMAN	IL4R	Interleukin-4 receptor subunit alpha	https://www.uniprot.org/uniprot/P24394
P25024	CXCR1_HUMAN	CXCR1	C-X-C chemokine receptor type 1	https://www.uniprot.org/uniprot/P25024
P25025	CXCR2_HUMAN	CXCR2	C-X-C chemokine receptor type 2	https://www.uniprot.org/uniprot/P25025
P25063	CD24_HUMAN	CD24	Signal transducer CD24	https://www.uniprot.org/uniprot/P25063
P25106	ACKR3_HUMAN	ACKR3	Atypical chemokine receptor 3	https://www.uniprot.org/uniprot/P25106
P25445	TNR6_HUMAN	FAS	Tumor necrosis factor receptor superfamily member 6	https://www.uniprot.org/uniprot/P25445
P25942	TNR5_HUMAN	CD40	Tumor necrosis factor receptor superfamily member 5	https://www.uniprot.org/uniprot/P25942
P26006	ITA3_HUMAN	ITGA3	Integrin alpha-3	https://www.uniprot.org/uniprot/P26006
P26715	NKG2A_HUMAN	KLRC1	NKG2-A/NKG2-B type II integral membrane protein	https://www.uniprot.org/uniprot/P26715
P26717	NKG2C_HUMAN	KLRC2	NKG2-C type II integral membrane protein	https://www.uniprot.org/uniprot/P26717
P26718	NKG2D_HUMAN	KLRK1	NKG2-D type II integral membrane protein	https://www.uniprot.org/uniprot/P26718
P26842	CD27_HUMAN	CD27	CD27 antigen	https://www.uniprot.org/uniprot/P26842
P26927	HGFL_HUMAN	MST1	Hepatocyte growth factor-like protein	https://www.uniprot.org/uniprot/P26927
P26951	IL3RA_HUMAN	IL3RA	Interleukin-3 receptor subunit alpha	https://www.uniprot.org/uniprot/P26951
P26992	CNTFR_HUMAN	CNTFR	Ciliary neurotrophic factor receptor subunit alpha	https://www.uniprot.org/uniprot/P26992
P27487	DPP4_HUMAN	DPP4	Dipeptidyl peptidase 4	https://www.uniprot.org/uniprot/P27487
P27701	CD82_HUMAN	CD82	CD82 antigen	https://www.uniprot.org/uniprot/P27701
P27930	IL1R2_HUMAN	IL1R2	Interleukin-1 receptor type 2	https://www.uniprot.org/uniprot/P27930
P28906	CD34_HUMAN	CD34	Hematopoietic progenitor cell antigen CD34	https://www.uniprot.org/uniprot/P28906
P28907	CD38_HUMAN	CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	https://www.uniprot.org/uniprot/P28907
P28908	TNR8_HUMAN	TNFRSF8	Tumor necrosis factor receptor superfamily member 8	https://www.uniprot.org/uniprot/P28908
P29016	CD1B_HUMAN	CD1B	T-cell surface glycoprotein CD1b	https://www.uniprot.org/uniprot/P29016
P29017	CD1C_HUMAN	CD1C	T-cell surface glycoprotein CD1c	https://www.uniprot.org/uniprot/P29017
P29459	IL12A_HUMAN	IL12A	Interleukin-12 subunit alpha	https://www.uniprot.org/uniprot/P29459
P29460	IL12B_HUMAN	IL12B	Interleukin-12 subunit beta	https://www.uniprot.org/uniprot/P29460
P29965	CD40L_HUMAN	CD40LG	CD40 ligand	https://www.uniprot.org/uniprot/P29965
P30203	CD6_HUMAN	CD6	T-cell differentiation antigen CD6	https://www.uniprot.org/uniprot/P30203
P31358	CD52_HUMAN	CD52	CAMPATH-1 antigen	https://www.uniprot.org/uniprot/P31358
P31785	IL2RG_HUMAN	IL2RG	Cytokine receptor common subunit gamma	https://www.uniprot.org/uniprot/P31785
P31994	FCG2B_HUMAN	FCGR2B	Low affinity immunoglobulin gamma Fc region receptor II-b	https://www.uniprot.org/uniprot/P31994
P31995	FCG2C_HUMAN	FCGR2C	Low affinity immunoglobulin gamma Fc region receptor II-c	https://www.uniprot.org/uniprot/P31995
P31997	CEAM8_HUMAN	CEACAM8	Carcinoembryonic antigen-related cell adhesion molecule 8	https://www.uniprot.org/uniprot/P31997
P32004	L1CAM_HUMAN	L1CAM	Neural cell adhesion molecule L1	https://www.uniprot.org/uniprot/P32004
P32246	CCR1_HUMAN	CCR1	C-C chemokine receptor type 1	https://www.uniprot.org/uniprot/P32246
P32248	CCR7_HUMAN	CCR7	C-C chemokine receptor type 7	https://www.uniprot.org/uniprot/P32248
P32302	CXCR5_HUMAN	CXCR5	C-X-C chemokine receptor type 5	https://www.uniprot.org/uniprot/P32302
P32881	IFNA8_HUMAN	IFNA8	Interferon alpha-8	https://www.uniprot.org/uniprot/P32881
P32927	IL3RB_HUMAN	CSF2RB	Cytokine receptor common subunit beta	https://www.uniprot.org/uniprot/P32927
P32942	ICAM3_HUMAN	ICAM3	Intercellular adhesion molecule 3	https://www.uniprot.org/uniprot/P32942
P32970	CD70_HUMAN	CD70	CD70 antigen	https://www.uniprot.org/uniprot/P32970
P32971	TNFL8_HUMAN	TNFSF8	Tumor necrosis factor ligand superfamily member 8	https://www.uniprot.org/uniprot/P32971
P33151	CADH5_HUMAN	CDH5	Cadherin-5	https://www.uniprot.org/uniprot/P33151
P33681	CD80_HUMAN	CD80	T-lymphocyte activation antigen CD80	https://www.uniprot.org/uniprot/P33681
P34810	CD68_HUMAN	CD68	Macrosialin	https://www.uniprot.org/uniprot/P34810
P35225	IL13_HUMAN	IL13	Interleukin-13	https://www.uniprot.org/uniprot/P35225
P35613	BASI_HUMAN	BSG	Basigin	https://www.uniprot.org/uniprot/P35613
P35968	VGFR2_HUMAN	KDR	Vascular endothelial growth factor receptor 2	https://www.uniprot.org/uniprot/P35968
P36888	FLT3_HUMAN	FLT3	Receptor-type tyrosine-protein kinase FLT3	https://www.uniprot.org/uniprot/P36888
P36894	BMR1A_HUMAN	BMPR1A	Bone morphogenetic protein receptor type-1A	https://www.uniprot.org/uniprot/P36894
P36897	TGFR1_HUMAN	TGFBR1	TGF-beta receptor type-1	https://www.uniprot.org/uniprot/P36897
P36941	TNR3_HUMAN	LTBR	Tumor necrosis factor receptor superfamily member 3	https://www.uniprot.org/uniprot/P36941
P37173	TGFR2_HUMAN	TGFBR2	TGF-beta receptor type-2	https://www.uniprot.org/uniprot/P37173
P38484	INGR2_HUMAN	IFNGR2	Interferon gamma receptor 2	https://www.uniprot.org/uniprot/P38484
P38570	ITAE_HUMAN	ITGAE	Integrin alpha-E	https://www.uniprot.org/uniprot/P38570
P40189	IL6RB_HUMAN	IL6ST	Interleukin-6 receptor subunit beta	https://www.uniprot.org/uniprot/P40189
P40197	GPV_HUMAN	GP5	Platelet glycoprotein V	https://www.uniprot.org/uniprot/P40197
P40198	CEAM3_HUMAN	CEACAM3	Carcinoembryonic antigen-related cell adhesion molecule 3	https://www.uniprot.org/uniprot/P40198
P40199	CEAM6_HUMAN	CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6	https://www.uniprot.org/uniprot/P40199
P40200	TACT_HUMAN	CD96	T-cell surface protein tactile	https://www.uniprot.org/uniprot/P40200
P40225	TPO_HUMAN	THPO	Thrombopoietin	https://www.uniprot.org/uniprot/P40225
P40238	TPOR_HUMAN	MPL	Thrombopoietin receptor	https://www.uniprot.org/uniprot/P40238
P40259	CD79B_HUMAN	CD79B	B-cell antigen receptor complex-associated protein beta chain	https://www.uniprot.org/uniprot/P40259
P40763	STAT3_HUMAN	STAT3	Signal transducer and activator of transcription 3	https://www.uniprot.org/uniprot/P40763
P40933	IL15_HUMAN	IL15	Interleukin-15	https://www.uniprot.org/uniprot/P40933
P41182	BCL6_HUMAN	BCL6	B-cell lymphoma 6 protein	https://www.uniprot.org/uniprot/P41182
P41217	OX2G_HUMAN	CD200	OX-2 membrane glycoprotein	https://www.uniprot.org/uniprot/P41217
P41273	TNFL9_HUMAN	TNFSF9	Tumor necrosis factor ligand superfamily member 9	https://www.uniprot.org/uniprot/P41273
P41597	CCR2_HUMAN	CCR2	C-C chemokine receptor type 2	https://www.uniprot.org/uniprot/P41597
P41732	TSN7_HUMAN	TSPAN7	Tetraspanin-7	https://www.uniprot.org/uniprot/P41732
P42081	CD86_HUMAN	CD86	T-lymphocyte activation antigen CD86	https://www.uniprot.org/uniprot/P42081
P42224	STAT1_HUMAN	STAT1	Signal transducer and activator of transcription 1-alpha/beta	https://www.uniprot.org/uniprot/P42224
P42229	STA5A_HUMAN	STAT5A	Signal transducer and activator of transcription 5A	https://www.uniprot.org/uniprot/P42229
P42574	CASP3_HUMAN	CASP3	Caspase-3	https://www.uniprot.org/uniprot/P42574
P42701	I12R1_HUMAN	IL12RB1	Interleukin-12 receptor subunit beta-1	https://www.uniprot.org/uniprot/P42701
P42702	LIFR_HUMAN	LIFR	Leukemia inhibitory factor receptor	https://www.uniprot.org/uniprot/P42702
P42830	CXCL5_HUMAN	CXCL5	C-X-C motif chemokine 5	https://www.uniprot.org/uniprot/P42830
P43121	MUC18_HUMAN	MCAM	Cell surface glycoprotein MUC18	https://www.uniprot.org/uniprot/P43121
P43489	TNR4_HUMAN	TNFRSF4	Tumor necrosis factor receptor superfamily member 4	https://www.uniprot.org/uniprot/P43489
P43626	KI2L1_HUMAN	KIR2DL1	Killer cell immunoglobulin-like receptor 2DL1	https://www.uniprot.org/uniprot/P43626
P43627	KI2L2_HUMAN	KIR2DL2	Killer cell immunoglobulin-like receptor 2DL2	https://www.uniprot.org/uniprot/P43627
P43628	KI2L3_HUMAN	KIR2DL3	Killer cell immunoglobulin-like receptor 2DL3	https://www.uniprot.org/uniprot/P43628
P43629	KI3L1_HUMAN	KIR3DL1	Killer cell immunoglobulin-like receptor 3DL1	https://www.uniprot.org/uniprot/P43629
P43630	KI3L2_HUMAN	KIR3DL2	Killer cell immunoglobulin-like receptor 3DL2	https://www.uniprot.org/uniprot/P43630
P43631	KI2S2_HUMAN	KIR2DS2	Killer cell immunoglobulin-like receptor 2DS2	https://www.uniprot.org/uniprot/P43631
P43632	KI2S4_HUMAN	KIR2DS4	Killer cell immunoglobulin-like receptor 2DS4	https://www.uniprot.org/uniprot/P43632
P46013	KI67_HUMAN	MKI67	Proliferation marker protein Ki-67	https://www.uniprot.org/uniprot/P46013
P46092	CCR10_HUMAN	CCR10	C-C chemokine receptor type 10	https://www.uniprot.org/uniprot/P46092
P46094	XCR1_HUMAN	XCR1	Chemokine XC receptor 1	https://www.uniprot.org/uniprot/P46094
P47992	XCL1_HUMAN	XCL1	Lymphotactin	https://www.uniprot.org/uniprot/P47992
P48023	TNFL6_HUMAN	FASLG	Tumor necrosis factor ligand superfamily member 6	https://www.uniprot.org/uniprot/P48023
P48061	SDF1_HUMAN	CXCL12	Stromal cell-derived factor 1	https://www.uniprot.org/uniprot/P48061
P48357	LEPR_HUMAN	LEPR	Leptin receptor	https://www.uniprot.org/uniprot/P48357
P48509	CD151_HUMAN	CD151	CD151 antigen	https://www.uniprot.org/uniprot/P48509
P48551	INAR2_HUMAN	IFNAR2	Interferon alpha/beta receptor 2	https://www.uniprot.org/uniprot/P48551
P48960	CD97_HUMAN	CD97	CD97 antigen	https://www.uniprot.org/uniprot/P48960
P49238	CX3C1_HUMAN	CX3CR1	CX3C chemokine receptor 1	https://www.uniprot.org/uniprot/P49238
P49682	CXCR3_HUMAN	CXCR3	C-X-C chemokine receptor type 3	https://www.uniprot.org/uniprot/P49682
P49685	GPR15_HUMAN	GPR15	G-protein coupled receptor 15	https://www.uniprot.org/uniprot/P49685
P49771	FLT3L_HUMAN	FLT3LG	Fms-related tyrosine kinase 3 ligand	https://www.uniprot.org/uniprot/P49771
P49961	ENTP1_HUMAN	ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	https://www.uniprot.org/uniprot/P49961
P50591	TNF10_HUMAN	TNFSF10	Tumor necrosis factor ligand superfamily member 10	https://www.uniprot.org/uniprot/P50591
P50895	BCAM_HUMAN	BCAM	Basal cell adhesion molecule	https://www.uniprot.org/uniprot/P50895
P51671	CCL11_HUMAN	CCL11	Eotaxin	https://www.uniprot.org/uniprot/P51671
P51677	CCR3_HUMAN	CCR3	C-C chemokine receptor type 3	https://www.uniprot.org/uniprot/P51677
P51679	CCR4_HUMAN	CCR4	C-C chemokine receptor type 4	https://www.uniprot.org/uniprot/P51679
P51681	CCR5_HUMAN	CCR5	C-C chemokine receptor type 5	https://www.uniprot.org/uniprot/P51681
P51684	CCR6_HUMAN	CCR6	C-C chemokine receptor type 6	https://www.uniprot.org/uniprot/P51684
P51685	CCR8_HUMAN	CCR8	C-C chemokine receptor type 8	https://www.uniprot.org/uniprot/P51685
P51686	CCR9_HUMAN	CCR9	C-C chemokine receptor type 9	https://www.uniprot.org/uniprot/P51686
P51864	TDGF3_HUMAN	TDGF1P3	Putative teratocarcinoma-derived growth factor 3	https://www.uniprot.org/uniprot/P51864
P52961	NAR1_HUMAN	ART1	GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1	https://www.uniprot.org/uniprot/P52961
P54709	AT1B3_HUMAN	ATP1B3	Sodium/potassium-transporting ATPase subunit beta-3	https://www.uniprot.org/uniprot/P54709
P55773	CCL23_HUMAN	CCL23	C-C motif chemokine 23	https://www.uniprot.org/uniprot/P55773
P55774	CCL18_HUMAN	CCL18	C-C motif chemokine 18	https://www.uniprot.org/uniprot/P55774
P56199	ITA1_HUMAN	ITGA1	Integrin alpha-1	https://www.uniprot.org/uniprot/P56199
P57087	JAM2_HUMAN	JAM2	Junctional adhesion molecule B	https://www.uniprot.org/uniprot/P57087
P59901	LIRA4_HUMAN	LILRA4	Leukocyte immunoglobulin-like receptor subfamily A member 4	https://www.uniprot.org/uniprot/P59901
P60033	CD81_HUMAN	CD81	CD81 antigen	https://www.uniprot.org/uniprot/P60033
P60568	IL2_HUMAN	IL2	Interleukin-2	https://www.uniprot.org/uniprot/P60568
P61073	CXCR4_HUMAN	CXCR4	C-X-C chemokine receptor type 4	https://www.uniprot.org/uniprot/P61073
P61812	TGFB2_HUMAN	TGFB2	Transforming growth factor beta-2 proprotein	https://www.uniprot.org/uniprot/P61812
P78324	SHPS1_HUMAN	SIRPA	Tyrosine-protein phosphatase non-receptor type substrate 1	https://www.uniprot.org/uniprot/P78324
P78325	ADAM8_HUMAN	ADAM8	Disintegrin and metalloproteinase domain-containing protein 8	https://www.uniprot.org/uniprot/P78325
P78423	X3CL1_HUMAN	CX3CL1	Fractalkine	https://www.uniprot.org/uniprot/P78423
P78504	JAG1_HUMAN	JAG1	Protein jagged-1	https://www.uniprot.org/uniprot/P78504
P78536	ADA17_HUMAN	ADAM17	Disintegrin and metalloproteinase domain-containing protein 17	https://www.uniprot.org/uniprot/P78536
P78552	I13R1_HUMAN	IL13RA1	Interleukin-13 receptor subunit alpha-1	https://www.uniprot.org/uniprot/P78552
P78556	CCL20_HUMAN	CCL20	C-C motif chemokine 20	https://www.uniprot.org/uniprot/P78556
P80075	CCL8_HUMAN	CCL8	C-C motif chemokine 8	https://www.uniprot.org/uniprot/P80075
P80098	CCL7_HUMAN	CCL7	C-C motif chemokine 7	https://www.uniprot.org/uniprot/P80098
P80162	CXCL6_HUMAN	CXCL6	C-X-C motif chemokine 6	https://www.uniprot.org/uniprot/P80162
Q01113	IL9R_HUMAN	IL9R	Interleukin-9 receptor	https://www.uniprot.org/uniprot/Q01113
Q01151	CD83_HUMAN	CD83	CD83 antigen	https://www.uniprot.org/uniprot/Q01151
Q01344	IL5RA_HUMAN	IL5RA	Interleukin-5 receptor subunit alpha	https://www.uniprot.org/uniprot/Q01344
Q01650	LAT1_HUMAN	SLC7A5	Large neutral amino acids transporter small subunit 1	https://www.uniprot.org/uniprot/Q01650
Q02094	RHAG_HUMAN	RHAG	Ammonium transporter Rh type A	https://www.uniprot.org/uniprot/Q02094
Q02161	RHD_HUMAN	RHD	Blood group Rh(D) polypeptide	https://www.uniprot.org/uniprot/Q02161
Q02223	TNR17_HUMAN	TNFRSF17	Tumor necrosis factor receptor superfamily member 17	https://www.uniprot.org/uniprot/Q02223
Q02763	TIE2_HUMAN	TEK	Angiopoietin-1 receptor	https://www.uniprot.org/uniprot/Q02763
Q03167	TGBR3_HUMAN	TGFBR3	Transforming growth factor beta receptor type 3	https://www.uniprot.org/uniprot/Q03167
Q03405	UPAR_HUMAN	PLAUR	Urokinase plasminogen activator surface receptor	https://www.uniprot.org/uniprot/Q03405
Q04900	MUC24_HUMAN	CD164	Sialomucin core protein 24	https://www.uniprot.org/uniprot/Q04900
Q04912	RON_HUMAN	MST1R	Macrophage-stimulating protein receptor	https://www.uniprot.org/uniprot/Q04912
Q06643	TNFC_HUMAN	LTB	Lymphotoxin-beta	https://www.uniprot.org/uniprot/Q06643
Q07011	TNR9_HUMAN	TNFRSF9	Tumor necrosis factor receptor superfamily member 9	https://www.uniprot.org/uniprot/Q07011
Q07075	AMPE_HUMAN	ENPEP	Glutamyl aminopeptidase	https://www.uniprot.org/uniprot/Q07075
Q07108	CD69_HUMAN	CD69	Early activation antigen CD69	https://www.uniprot.org/uniprot/Q07108
Q07325	CXCL9_HUMAN	CXCL9	C-X-C motif chemokine 9	https://www.uniprot.org/uniprot/Q07325
Q07954	LRP1_HUMAN	LRP1	Prolow-density lipoprotein receptor-related protein 1	https://www.uniprot.org/uniprot/Q07954
Q08334	I10R2_HUMAN	IL10RB	Interleukin-10 receptor subunit beta	https://www.uniprot.org/uniprot/Q08334
Q08345	DDR1_HUMAN	DDR1	Epithelial discoidin domain-containing receptor 1	https://www.uniprot.org/uniprot/Q08345
Q08708	CLM6_HUMAN	CD300C	CMRF35-like molecule 6	https://www.uniprot.org/uniprot/Q08708
Q08722	CD47_HUMAN	CD47	Leukocyte surface antigen CD47	https://www.uniprot.org/uniprot/Q08722
Q10588	BST1_HUMAN	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	https://www.uniprot.org/uniprot/Q10588
Q10589	BST2_HUMAN	BST2	Bone marrow stromal antigen 2	https://www.uniprot.org/uniprot/Q10589
Q12913	PTPRJ_HUMAN	PTPRJ	Receptor-type tyrosine-protein phosphatase eta	https://www.uniprot.org/uniprot/Q12913
Q12918	KLRB1_HUMAN	KLRB1	Killer cell lectin-like receptor subfamily B member 1	https://www.uniprot.org/uniprot/Q12918
Q13007	IL24_HUMAN	IL24	Interleukin-24	https://www.uniprot.org/uniprot/Q13007
Q13241	KLRD1_HUMAN	KLRD1	Natural killer cells antigen CD94	https://www.uniprot.org/uniprot/Q13241
Q13261	I15RA_HUMAN	IL15RA	Interleukin-15 receptor subunit alpha	https://www.uniprot.org/uniprot/Q13261
Q13291	SLAF1_HUMAN	SLAMF1	Signaling lymphocytic activation molecule	https://www.uniprot.org/uniprot/Q13291
Q13349	ITAD_HUMAN	ITGAD	Integrin alpha-D	https://www.uniprot.org/uniprot/Q13349
Q13478	IL18R_HUMAN	IL18R1	Interleukin-18 receptor 1	https://www.uniprot.org/uniprot/Q13478
Q13651	I10R1_HUMAN	IL10RA	Interleukin-10 receptor subunit alpha	https://www.uniprot.org/uniprot/Q13651
Q13740	CD166_HUMAN	ALCAM	CD166 antigen	https://www.uniprot.org/uniprot/Q13740
Q14005	IL16_HUMAN	IL16	Pro-interleukin-16	https://www.uniprot.org/uniprot/Q14005
Q14116	IL18_HUMAN	IL18	Interleukin-18	https://www.uniprot.org/uniprot/Q14116
Q14213	IL27B_HUMAN	EBI3	Interleukin-27 subunit beta	https://www.uniprot.org/uniprot/Q14213
Q14242	SELPL_HUMAN	SELPLG	P-selectin glycoprotein ligand 1	https://www.uniprot.org/uniprot/Q14242
Q14626	I11RA_HUMAN	IL11RA	Interleukin-11 receptor subunit alpha	https://www.uniprot.org/uniprot/Q14626
Q14627	I13R2_HUMAN	IL13RA2	Interleukin-13 receptor subunit alpha-2	https://www.uniprot.org/uniprot/Q14627
Q14773	ICAM4_HUMAN	ICAM4	Intercellular adhesion molecule 4	https://www.uniprot.org/uniprot/Q14773
Q14953	KI2S5_HUMAN	KIR2DS5	Killer cell immunoglobulin-like receptor 2DS5	https://www.uniprot.org/uniprot/Q14953
Q14954	KI2S1_HUMAN	KIR2DS1	Killer cell immunoglobulin-like receptor 2DS1	https://www.uniprot.org/uniprot/Q14954
Q15116	PDCD1_HUMAN	PDCD1	Programmed cell death protein 1	https://www.uniprot.org/uniprot/Q15116
Q15223	NECT1_HUMAN	NECTIN1	Nectin-1	https://www.uniprot.org/uniprot/Q15223
Q15399	TLR1_HUMAN	TLR1	Toll-like receptor 1	https://www.uniprot.org/uniprot/Q15399
Q15762	CD226_HUMAN	CD226	CD226 antigen	https://www.uniprot.org/uniprot/Q15762
Q16552	IL17_HUMAN	IL17A	Interleukin-17A	https://www.uniprot.org/uniprot/Q16552
Q16570	ACKR1_HUMAN	ACKR1	Atypical chemokine receptor 1	https://www.uniprot.org/uniprot/Q16570
Q16627	CCL14_HUMAN	CCL14	C-C motif chemokine 14	https://www.uniprot.org/uniprot/Q16627
Q16663	CCL15_HUMAN	CCL15	C-C motif chemokine 15	https://www.uniprot.org/uniprot/Q16663
Q496F6	CLM2_HUMAN	CD300E	CMRF35-like molecule 2	https://www.uniprot.org/uniprot/Q496F6
Q5VWK5	IL23R_HUMAN	IL23R	Interleukin-23 receptor	https://www.uniprot.org/uniprot/Q5VWK5
Q5ZPR3	CD276_HUMAN	CD276	CD276 antigen	https://www.uniprot.org/uniprot/Q5ZPR3
Q6EBC2	IL31_HUMAN	IL31	Interleukin-31	https://www.uniprot.org/uniprot/Q6EBC2
Q6GTX8	LAIR1_HUMAN	LAIR1	Leukocyte-associated immunoglobulin-like receptor 1	https://www.uniprot.org/uniprot/Q6GTX8
Q6ISS4	LAIR2_HUMAN	LAIR2	Leukocyte-associated immunoglobulin-like receptor 2	https://www.uniprot.org/uniprot/Q6ISS4
Q6PI73	LIRA6_HUMAN	LILRA6	Leukocyte immunoglobulin-like receptor subfamily A member 6	https://www.uniprot.org/uniprot/Q6PI73
Q6UXB2	CXL17_HUMAN	CXCL17	C-X-C motif chemokine 17	https://www.uniprot.org/uniprot/Q6UXB2
Q6UXL0	I20RB_HUMAN	IL20RB	Interleukin-20 receptor subunit beta	https://www.uniprot.org/uniprot/Q6UXL0
Q6YHK3	CD109_HUMAN	CD109	CD109 antigen	https://www.uniprot.org/uniprot/Q6YHK3
Q6ZMJ4	IL34_HUMAN	IL34	Interleukin-34	https://www.uniprot.org/uniprot/Q6ZMJ4
Q7Z6A9	BTLA_HUMAN	BTLA	B- and T-lymphocyte attenuator	https://www.uniprot.org/uniprot/Q7Z6A9
Q86VB7	C163A_HUMAN	CD163	Scavenger receptor cysteine-rich type 1 protein M130	https://www.uniprot.org/uniprot/Q86VB7
Q86WN2	IFNE_HUMAN	IFNE	Interferon epsilon	https://www.uniprot.org/uniprot/Q86WN2
Q8IU54	IFNL1_HUMAN	IFNL1	Interferon lambda-1	https://www.uniprot.org/uniprot/Q8IU54
Q8IU57	INLR1_HUMAN	IFNLR1	Interferon lambda receptor 1	https://www.uniprot.org/uniprot/Q8IU57
Q8IUN9	CLC10_HUMAN	CLEC10A	C-type lectin domain family 10 member A	https://www.uniprot.org/uniprot/Q8IUN9
Q8IX05	CD302_HUMAN	CD302	CD302 antigen	https://www.uniprot.org/uniprot/Q8IX05
Q8IZ96	CKLF1_HUMAN	CMTM1	CKLF-like MARVEL transmembrane domain-containing protein 1	https://www.uniprot.org/uniprot/Q8IZ96
Q8IZI9	IFNL3_HUMAN	IFNL3	Interferon lambda-3	https://www.uniprot.org/uniprot/Q8IZI9
Q8IZJ0	IFNL2_HUMAN	IFNL2	Interferon lambda-2	https://www.uniprot.org/uniprot/Q8IZJ0
Q8N109	KI2LA_HUMAN	KIR2DL5A	Killer cell immunoglobulin-like receptor 2DL5A	https://www.uniprot.org/uniprot/Q8N109
Q8N149	LIRA2_HUMAN	LILRA2	Leukocyte immunoglobulin-like receptor subfamily A member 2	https://www.uniprot.org/uniprot/Q8N149
Q8N423	LIRB2_HUMAN	LILRB2	Leukocyte immunoglobulin-like receptor subfamily B member 2	https://www.uniprot.org/uniprot/Q8N423
Q8N6C8	LIRA3_HUMAN	LILRA3	Leukocyte immunoglobulin-like receptor subfamily A member 3	https://www.uniprot.org/uniprot/Q8N6C8
Q8N6P7	I22R1_HUMAN	IL22RA1	Interleukin-22 receptor subunit alpha-1	https://www.uniprot.org/uniprot/Q8N6P7
Q8N6Q3	CD177_HUMAN	CD177	CD177 antigen	https://www.uniprot.org/uniprot/Q8N6Q3
Q8N743	KI3L3_HUMAN	KIR3DL3	Killer cell immunoglobulin-like receptor 3DL3	https://www.uniprot.org/uniprot/Q8N743
Q8NEV9	IL27A_HUMAN	IL27	Interleukin-27 subunit alpha	https://www.uniprot.org/uniprot/Q8NEV9
Q8NHJ6	LIRB4_HUMAN	LILRB4	Leukocyte immunoglobulin-like receptor subfamily B member 4	https://www.uniprot.org/uniprot/Q8NHJ6
Q8NHL6	LIRB1_HUMAN	LILRB1	Leukocyte immunoglobulin-like receptor subfamily B member 1	https://www.uniprot.org/uniprot/Q8NHL6
Q8NHW4	CC4L_HUMAN	CCL4L2	C-C motif chemokine 4-like	https://www.uniprot.org/uniprot/Q8NHW4
Q8TAD2	IL17D_HUMAN	IL17D	Interleukin-17D	https://www.uniprot.org/uniprot/Q8TAD2
Q8WTT0	CLC4C_HUMAN	CLEC4C	C-type lectin domain family 4 member C	https://www.uniprot.org/uniprot/Q8WTT0
Q8WWI5	CTL1_HUMAN	SLC44A1	Choline transporter-like protein 1	https://www.uniprot.org/uniprot/Q8WWI5
Q8WWZ1	IL1FA_HUMAN	IL1F10	Interleukin-1 family member 10	https://www.uniprot.org/uniprot/Q8WWZ1
Q92583	CCL17_HUMAN	CCL17	C-C motif chemokine 17	https://www.uniprot.org/uniprot/Q92583
Q92692	NECT2_HUMAN	NECTIN2	Nectin-2	https://www.uniprot.org/uniprot/Q92692
Q92854	SEM4D_HUMAN	SEMA4D	Semaphorin-4D	https://www.uniprot.org/uniprot/Q92854
Q92956	TNR14_HUMAN	TNFRSF14	Tumor necrosis factor receptor superfamily member 14	https://www.uniprot.org/uniprot/Q92956
Q93033	IGSF2_HUMAN	CD101	Immunoglobulin superfamily member 2	https://www.uniprot.org/uniprot/Q93033
Q93038	TNR25_HUMAN	TNFRSF25	Tumor necrosis factor receptor superfamily member 25	https://www.uniprot.org/uniprot/Q93038
Q93070	NAR4_HUMAN	ART4	Ecto-ADP-ribosyltransferase 4	https://www.uniprot.org/uniprot/Q93070
Q93073	SBP2L_HUMAN	SECISBP2L	Selenocysteine insertion sequence-binding protein 2-like	https://www.uniprot.org/uniprot/Q93073
Q969J5	I22R2_HUMAN	IL22RA2	Interleukin-22 receptor subunit alpha-2	https://www.uniprot.org/uniprot/Q969J5
Q969P0	IGSF8_HUMAN	IGSF8	Immunoglobulin superfamily member 8	https://www.uniprot.org/uniprot/Q969P0
Q96F46	I17RA_HUMAN	IL17RA	Interleukin-17 receptor A	https://www.uniprot.org/uniprot/Q96F46
Q96FZ5	CKLF7_HUMAN	CMTM7	CKLF-like MARVEL transmembrane domain-containing protein 7	https://www.uniprot.org/uniprot/Q96FZ5
Q96PD4	IL17F_HUMAN	IL17F	Interleukin-17F	https://www.uniprot.org/uniprot/Q96PD4
Q96RJ3	TR13C_HUMAN	TNFRSF13C	Tumor necrosis factor receptor superfamily member 13C	https://www.uniprot.org/uniprot/Q96RJ3
Q99062	CSF3R_HUMAN	CSF3R	Granulocyte colony-stimulating factor receptor	https://www.uniprot.org/uniprot/Q99062
Q99467	CD180_HUMAN	CD180	CD180 antigen	https://www.uniprot.org/uniprot/Q99467
Q99616	CCL13_HUMAN	CCL13	C-C motif chemokine 13	https://www.uniprot.org/uniprot/Q99616
Q99650	OSMR_HUMAN	OSMR	Oncostatin-M-specific receptor subunit beta	https://www.uniprot.org/uniprot/Q99650
